customer_name_sheet,crm_customer_id,crm_customer_name,crm_total_active_assets,sheet_active_assets_with_rent,total_rent_amount_sheet,customer_match_method,total_per_month_rate_sheet,matched_assets,unmatched_sheet_assets,crm_active_not_on_sheet,rate_match_count,rate_mismatch_count,asset_count_aligned,count_diff_sheet_minus_crm
INFISWIFT TECHNOLOGIES PRIVATE LIMITED,197,INFISWIFT TECHNOLOGIES PRIVATE LIMITED,1,1,3099,name,3099,1,0,0,1,0,YES,0
B2C (Pranshu Sharma),224,B2C (Pranshu Sharma),1,1,2966,name,2966,1,0,0,1,0,YES,0
Xsky,200,XSKY LOUNGE HOSPITALITY PRIVATE LIMITED,2,1,2899,name,2899,1,0,1,1,0,NO,-1
IN KNOW TECH PRIVATE LIMITED,960,IN KNOW TECH PRIVATE LIMITED,1,1,2500,name,2500,1,0,0,1,0,YES,0
Enhanced WAPP Systems (I) Pvt Ltd.,142,ENHANCED WAPP SYSTEMS INDIA PRIVATE LIMITED (HR),1,1,2499,name,2499,1,0,0,1,0,YES,0
Talent Skillsvarsity Private Limited,247,Talent Skillsvarsity Private Limited,2,2,2034,name,2034,2,0,0,2,0,YES,0
AGILE VENTURES PRIVATE LIMITED,110,AGILE VENTURES PRIVATE LIMITED,1,1,1999,name,1999,1,0,0,1,0,YES,0
Dipanshu Mutreja & Associates,147,Dipanshu Mutreja,1,1,1999,name,1999,1,0,0,1,0,YES,0
MAX LT TECHNOLOGIES LLP,921,Max LT Technologies,1,1,1999,name,1999,1,0,0,1,0,YES,0
DASH AST TECHNOLOGY LLP,140,DASH AST TECHNOLOGY LLP,2,2,1998,name,1998,2,0,0,2,0,YES,0
Accelerate Media Private Limited,144,Accelerate Media Private Limited,1,1,1799,name,1799,1,0,0,1,0,YES,0
United precision Cast,273,United precision Cast,1,1,1700,name,1700,1,0,0,1,0,YES,0
BROWN ALLIGATOR,132,BROWN ALLIGATOR,1,1,1699,name,1699,1,0,0,1,0,YES,0
CIPHERBEAT LLP,259,CIPHERBEAT LLP,1,1,1699,name,1699,1,0,0,1,0,YES,0
AA Consultants,124,AA Consultant,1,1,1600,name,1600,1,0,0,1,0,YES,0
SPRINGWEL MATTRESSES PRIVATE LIMITED,,NOT_FOUND_IN_CRM,0,1,1499,unmatched,1499,1,0,0,1,0,NO,1
DELPHI INFOTECH PRIVATE LIMITED,78,DELPHI INFOTECH PRIVATE LIMITED,1,1,1399,name,1399,1,0,0,1,0,YES,0
